Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
771808909271722571,63,2018-10-06,Superhost,2.0,I Centro Storico,2.0,1.0,Entire home,3,86.0,63,4.9,4.94,4.92,4.95,5.0,4.97,4.87,5.66,Roma,Early Winter,1,private,"41.89046699862232, 12.48427314982083",2024-12-15
703633496965449789,1,2018-06-24,Host,1.0,VIII Appia Antica,3.0,2.0,Entire home,4,180.0,6,4.67,4.83,4.5,5.0,5.0,4.33,4.5,0.4,Roma,Early Winter,1,private,"41.84301, 12.48684",2024-12-15
12908896,12,2015-04-14,Superhost,2.0,II Parioli/Nomentano,2.0,1.0,Entire home,4,149.0,144,4.92,4.93,4.93,4.95,4.93,4.92,4.82,1.59,Roma,Early Winter,1,private,"41.914143, 12.474682",2024-12-15
907915147405474021,8,2023-06-06,Host,1.0,II Parioli/Nomentano,2.0,1.0,Entire home,3,160.0,8,4.88,5.0,5.0,5.0,4.88,5.0,5.0,2.61,Roma,Early Winter,1,private,"41.9100368, 12.5284476",2024-12-15
755721336586979642,66,2022-11-08,Superhost,1.0,I Centro Storico,2.0,1.0,Entire home,2,70.0,68,4.87,4.9,4.87,4.84,4.93,4.94,4.82,5.48,Roma,Early Winter,1,private,"41.8892, 12.49749",2024-12-15
49095788,25,2021-04-07,Host,1.0,I Centro Storico,2.0,1.0,Entire home,4,104.0,35,4.53,4.61,3.78,4.94,4.89,4.86,4.44,1.16,Roma,Early Winter,1,private,"41.89451, 12.46534",2024-12-15
24010612,40,2018-03-23,Host,6.0,I Centro Storico,1.0,1.0,Entire home,2,69.0,124,4.52,4.72,4.56,4.78,4.89,4.74,4.47,1.8,Roma,Early Winter,1,private,"41.88695, 12.46861",2024-12-15
29199593,0,2018-04-05,Host,1.0,IV Tiburtina,1.0,1.0,Entire home,4,70.0,22,4.77,4.91,4.95,5.0,4.82,4.64,4.77,0.35,Roma,Early Winter,2,private,"41.94263, 12.62707",2024-12-15
49259879,13,2014-04-14,Superhost,14.0,VII San Giovanni/Cinecittà,1.0,1.0,Private room,2,96.0,41,4.93,4.95,5.0,4.93,5.0,4.59,4.88,1.34,Roma,Early Winter,0,shared,"41.88296, 12.51698",2024-12-15
19916042,0,2016-10-18,Superhost,4.0,I Centro Storico,6.0,3.0,Entire home,10,450.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,Roma,Early Winter,3,private,"41.90842, 12.46235",2024-12-15
684518872362157069,27,2022-04-19,Superhost,2.0,XIV Monte Mario,1.0,1.0,Private room,1,54.0,28,4.83,4.79,4.97,4.93,4.97,4.21,4.76,2.17,Roma,Early Winter,1,shared,"41.9248922, 12.4149768",2024-12-15
42919788,7,2019-04-18,Host,40.0,I Centro Storico,1.0,1.0,Private room,2,78.0,11,4.58,4.75,4.92,4.58,4.67,4.92,4.25,0.54,Roma,Early Winter,1,private,"41.89923, 12.50415",2024-12-15
20860724,0,2014-04-02,Host,1.0,XII Monte Verde,2.0,1.0,Entire home,4,110.0,14,4.93,5.0,4.86,5.0,5.0,4.71,4.79,0.19,Roma,Early Winter,1,private,"41.87413, 12.45352",2024-12-15
21508125,0,2017-10-26,Host,1.0,VIII Appia Antica,3.0,2.0,Entire home,6,146.0,6,5.0,5.0,4.67,5.0,5.0,4.83,4.83,0.08,Roma,Early Winter,1,private,"41.86793, 12.48388",2024-12-15
473219,0,2011-08-09,Host,2.0,VII San Giovanni/Cinecittà,2.0,1.0,Private room,2,40.0,7,3.86,3.86,4.43,5.0,4.29,4.0,4.5,0.08,Roma,Early Winter,1,private,"41.85735, 12.5589",2024-12-15
926771952054534002,12,2023-07-02,Host,1.0,I Centro Storico,3.0,2.0,Entire home,4,364.0,12,5.0,5.0,5.0,5.0,5.0,5.0,4.83,2.55,Roma,Early Winter,2,private,"41.90856309999999, 12.4883314",2024-12-15
812102383320572377,3,2018-06-20,Superhost,8.0,I Centro Storico,2.0,1.0,Entire home,4,198.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.38,Roma,Early Winter,1,private,"41.9070393, 12.4768603",2024-12-15
862186180600201056,22,2018-11-08,Host,170.0,I Centro Storico,3.0,2.0,Entire home,6,579.0,22,4.82,4.77,4.86,4.77,4.73,4.82,4.77,2.62,Roma,Early Winter,3,private,"41.90322, 12.47621",2024-12-15
23320775,66,2018-02-05,Superhost,1.0,I Centro Storico,1.0,1.0,Entire home,3,141.0,245,5.0,4.98,5.0,5.0,5.0,4.98,4.95,3.53,Roma,Early Winter,1,private,"41.89579, 12.47143",2024-12-15
21603156,0,2016-04-07,Superhost,7.0,I Centro Storico,1.0,1.0,Private room,2,74.0,4,4.75,4.75,4.75,5.0,4.75,4.5,4.5,0.06,Roma,Early Winter,1,private,"41.89935, 12.50217",2024-12-15
648453549985118501,1,2022-05-26,Host,42.0,I Centro Storico,1.0,1.0,Entire home,2,250.0,1,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.45,Roma,Early Winter,1,private,"41.90636, 12.48293",2024-12-15
893931447402566830,3,2014-05-26,Superhost,2.0,I Centro Storico,7.0,3.0,Entire home,7,175.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.94,Roma,Early Winter,2,private,"41.89681208801943, 12.500950393315756",2024-12-15
14585861,5,2013-06-16,Host,16.0,I Centro Storico,1.0,1.0,Private room,2,137.0,36,4.44,4.44,4.58,4.42,4.42,4.92,4.5,0.58,Roma,Early Winter,1,private,"41.89544, 12.47337",2024-12-15
21134802,0,2017-09-28,Host,6.0,I Centro Storico,2.0,1.0,Hotel room,2,135.0,6,4.83,4.5,4.83,4.83,4.83,4.67,4.83,0.09,Roma,Early Winter,1,private,"41.91182, 12.46214",2024-12-15
558582105993798173,2,2019-01-10,Host,4.0,I Centro Storico,5.0,3.0,Entire home,6,295.0,7,4.43,4.57,4.43,4.86,4.43,4.86,4.43,0.37,Roma,Early Winter,2,private,"41.89472, 12.47234",2024-12-15
6583297,0,2015-05-28,Host,8.0,I Centro Storico,5.0,3.0,Entire home,8,250.0,7,4.86,4.71,4.86,4.71,4.71,4.71,4.86,0.09,Roma,Early Winter,3,private,"41.89942, 12.45806",2024-12-15
23120717,2,2014-03-10,Host,89.0,I Centro Storico,1.0,1.0,Private room,2,104.0,7,4.43,4.14,4.29,4.57,4.71,5.0,4.29,0.1,Roma,Early Winter,1,private,"41.90947, 12.47669",2024-12-15
9574323,62,2015-11-21,Host,3.0,I Centro Storico,1.0,1.0,Entire home,2,60.0,216,4.34,4.57,4.48,4.83,4.88,4.92,4.36,2.21,Roma,Early Winter,1,private,"41.8938, 12.47395",2024-12-15
993270878069681690,1,2012-10-16,Host,5.0,IX Eur,6.0,3.0,Entire home,11,500.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.71,Roma,Early Winter,4,private,"41.7887804, 12.4289852",2024-12-15
737468083183209528,0,2018-06-20,Superhost,8.0,I Centro Storico,1.0,1.0,Private room,2,251.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,Roma,Early Winter,1,private,"41.90076, 12.48226",2024-12-15
42262992,30,2019-12-30,Superhost,3.0,I Centro Storico,2.0,1.0,Entire home,4,179.0,30,5.0,5.0,4.9,5.0,5.0,5.0,4.87,4.05,Roma,Early Winter,1,private,"41.88899, 12.47191",2024-12-15
650588538044465334,1,2016-11-01,Host,1.0,V Prenestino/Centocelle,2.0,1.0,Entire home,4,120.0,7,5.0,4.57,5.0,5.0,5.0,5.0,5.0,0.41,Roma,Early Winter,2,private,"41.89186, 12.52726",2024-12-15
